experiment,split_type,test_split_name,holdout_fake_source,dataset_size,train_size,val_size,holdout_test_size,test_size,train_fake,test_fake,train_real,test_real,real_train_test_ratio,fake_train_test_ratio,best_epoch,val_eer_best,holdout_test_loss,holdout_test_eer,holdout_test_auc,holdout_test_accuracy,stratified_test_loss,stratified_test_eer,stratified_test_auc,stratified_test_accuracy,test_loss,test_eer,test_auc,test_accuracy,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,eer_threshold,robust_Clean_eer,robust_Clean_auc,robust_Clean_acc,robust_10dB Noise_eer,robust_10dB Noise_auc,robust_10dB Noise_acc,robust_MP3 Compress._eer,robust_MP3 Compress._auc,robust_MP3 Compress._acc,robust_Reverb (0.5s)_eer,robust_Reverb (0.5s)_auc,robust_Reverb (0.5s)_acc
holdout_crikk,holdout,holdout_test,crikk_deepfake,7311,4626,816,1869,1869,2474,1000,2152,869,2.476409666283084,2.474,5,0.03431286717424514,0.5495582412133057,0.06794706559263522,0.9719436133486768,0.5013376136971642,,,,,0.5495582412133057,0.06794706559263522,0.9719436133486768,0.5013376136971642,0.48249027237354086,0.998849252013809,0.6506746626686657,0.9857142857142858,0.069,0.12897196261682245,0.698021411895752,0.06794706559263522,0.9719436133486768,0.5013376136971642,0.09095454545454547,0.9603394706559264,0.5607276618512573,0.1401956271576525,0.9258688147295744,0.46923488496522203,0.2209718066743383,0.8752370540851553,0.46976993044408777
holdout_lstm,holdout,holdout_test,lstm_deepfake,7311,4626,816,1869,1869,2474,1000,2152,869,2.476409666283084,2.474,12,0.03184944120079941,1.4697671297271404,0.08987917146144993,0.9512387802071346,0.5323702514713751,,,,,1.4697671297271404,0.08987917146144993,0.9512387802071346,0.5323702514713751,0.4985656913367757,1.0,0.6653905053598775,1.0,0.126,0.2238010657193606,0.5674633979797363,0.08987917146144993,0.9512387802071346,0.5323702514713751,0.20119044879171463,0.8944062140391256,0.6543606206527555,0.14822324510932106,0.9359344073647871,0.5628678437667202,0.4141346375143843,0.6553147295742232,0.5093632958801498
holdout_gemini,holdout,holdout_test,gemini_deepfake,7311,4767,841,1703,1703,2550,911,2217,792,2.7992424242424243,2.7991218441273324,5,0.04046035805626601,1.0888105896424614,0.1779284336227256,0.90914496224595,0.6265413975337639,,,,,1.0888105896424614,0.1779284336227256,0.90914496224595,0.6265413975337639,0.5546984572230014,0.9987373737373737,0.7132551848512173,0.9963898916967509,0.3029637760702525,0.46464646464646464,0.7166389226913452,0.1779284336227256,0.90914496224595,0.6265413975337639,0.19845754471166105,0.8705288338932685,0.7680563711098062,0.2636678253445542,0.8319362671722714,0.6183206106870229,0.2636678253445542,0.8529657164399206,0.6670581327069877
holdout_baglafake,holdout,holdout_test,baglafake_deepfake,7311,4626,816,1869,1869,2474,1000,2152,869,2.476409666283084,2.474,10,0.0,2.6839503399968456,0.5960437284234752,0.3668958573072497,0.46441947565543074,,,,,2.6839503399968456,0.5960437284234752,0.3668958573072497,0.46441947565543074,0.4646302250803859,0.997698504027618,0.6340036563071298,0.3333333333333333,0.001,0.0019940179461615153,0.9824408292770386,0.5960437284234752,0.3668958573072497,0.46441947565543074,0.525945914844649,0.46266915995397007,0.45692883895131087,0.5981944764096663,0.37575086306098965,0.463884430176565,0.665066168009206,0.3011858457997698,0.4612092027822365
full_dataset_stratified,stratified_full,stratified_test,,7311,5118,1097,0,1096,2738,586,2380,510,4.666666666666667,4.67235494880546,13,0.044695527273941923,,,,,0.13941287585672452,0.03373151308304892,0.9904804925383123,0.8521897810218978,0.13941287585672452,0.03373151308304892,0.9904804925383123,0.8521897810218978,0.7589285714285714,1.0,0.8629441624365483,1.0,0.7235494880546075,0.8396039603960396,0.550767183303833,0.03373151308304892,0.9904804925383123,0.8521897810218978,0.08396573646523457,0.9734491066050994,0.8394160583941606,0.06844341832296058,0.9756106538178411,0.8248175182481752,0.0766311985545071,0.9797129090544068,0.8521897810218978
